,Rank,Institution,Region,Total Score
310,311,Yangtze Normal University,Chongqing,133.0
311,312,Beihua University,Jilin,132.9
312,313,Guangdong Ocean University,Guangdong,132.5
313,314,Guangdong Polytechnic Normal University,Guangdong,132.3
314,314,Jiangxi Science and Technology Normal University,Jiangxi,132.3
315,316,Taizhou University,Zhejiang,132.0
316,317,Dalian Ocean University,Liaoning,131.9
317,318,University of Science and Technology Liaoning,Liaoning,131.7
318,319,Luoyang Normal University,Henan,131.6
319,320,Hubei Normal University,Hubei,131.3
320,321,Shanghai Dianji University,Shanghai,130.3
321,322,Changzhou Institute of Technology,Jiangsu,130.1
322,323,Yancheng Teachers University,Jiangsu,129.8
323,324,Hubei University of Education,Hubei,129.6
324,325,Changchun Normal University,Jilin,129.3
325,326,Huaihai Institute of Technology,Jiangsu,129.2
326,326,Yunnan Agricultural University,Yunnan,129.2
327,328,Changsha University,Hunan,129.1
328,328,Dali University,Yunnan,129.1
329,328,Sichuan University of Science and Engineering,Sichuan,129.1
330,331,Minjiang University,Fujian,129.0
331,332,Jiangsu University of Technology,Jiangsu,128.4
332,332,Jilin Jianzhu University,Jilin,128.4
333,334,Fujian University of Technology,Fujian,128.2
334,335,Inner Mongolia University of Science & Technology,Inner Mongolia,128.0
335,336,Guizhou Normal College,Guizhou,127.8
336,337,Tarim University,Xinjiang,127.7
337,338,Huanggang Normal University,Hubei,126.4
338,339,Chongqing University of Arts and Science,Chongqing,125.8
339,340,Shenyang University,Liaoning,125.7
340,341,Tongren University,Guizhou,125.6
341,342,Henan Institute of Science and Technology,Henan,125.3
342,343,Wuyi University,Guangdong,124.9
343,344,Hunan First Normal University,Hunan,124.4
344,344,Mianyang Teachers' College,Sichuan,124.4
345,346,Shanghai Second Polytechnic University,Shanghai,123.8
346,347,Binzhou University,Shandong,123.7
347,347,Hubei University of Arts and Science,Hubei,123.7
348,349,Anhui Science and Technology University,Anhui,123.6
349,350,Zhejiang Wanli University,Zhejiang,123.5
350,351,Southwest Forestry University,Yunnan,123.1
351,352,Tianjin Agricultural University,Tianjin,122.3
352,353,Quzhou University,Zhejiang,122.2
353,354,Tianjin Chengjian University,Tianjin,122.0
354,355,Changchun University,Jilin,121.9
355,356,Hefei Normal University,Anhui,121.6
