,Institution,Found Year,Total Students,Total International Students,Undergraduate Students,Undergraduate International Students,Graduate Students,Graduate International Students
0,Guizhou Institute of Technology,2013,,,,,,
0,Nanchang Normal University,1952,,,,,,
0,North China Institute of Aerospace Engineering,1978,,,,,,
0,Changchun Institute of Technology,1951,,,,,,
0,Leshan Normal University,1978,,,,,,
0,Heilongjiang University of Science and Technology,1947,,,,,,
0,Hunan Institute of Engineering,1951,,,,,,
0,Jiamusi University,1947,,,,,,
0,Civil Aviation Flight University of China,1956,,,,,,
0,Longyan University,1958,,,,,,
0,Shangqiu Normal University,1905,,,,,,
0,Putian University,2002,,,,,,
0,Xichang College,1939,,,,,,
0,Qujing Normal University,1907,14981,45,14981,45,,0.0%
0,Chongqing University of Education,1954,,,,,,
0,Zunyi Normal University,1907,,,,,,
0,Shanxi Datong University,1950,,,,,,
0,Henan University of Urban Construction,1983,,,,,,
0,Chengdu Technological University,1913,,,,,,
0,Qilu Normal University,1948,,,,,,
0,Tonghua Normal University,1958,,,,,,
0,Pingdingshan University,1977,,,,,,
0,YingKou Institute of Technology,2013,,,,,,
0,Zhixing College of Northwest Normal University,,,,,,,
0,Jiujiang University,1901,,,,,,
0,Hainan Tropical Ocean University,1954,,,,,,
0,Yibin University,1978,,,,,,
0,"Hunan University of Humanities, Science and Technology",1978,,,,,,
0,HeXi University,1941,,,,,,
0,Shaoyang University,1958,,,,,,
0,Tianshui Normal University,1959,,,,,,
0,Hanshan Normal University,1903,,,,,,
0,Ningxia Normal University,1975,,,,,,
0,Jilin Engineering Normal University,1979,,,,,,
0,Bozhou University,1909,,,,,,
0,Henan University of Animal Husbandry and Economy,1960,,,,,,
0,Shandong Youth University of Political Science,1949,,,,,,
0,Taiyuan Normal University,1999,,,,,,
0,Fujian Polytechnic Normal University,1977,,,,,,
0,Yulin University,1958,,,,,,
0,Baoji University of Arts and Sciences,1958,,,,,,
0,Hebei Normal University of Science and Technology,1941,,,,,,
0,West AnHui University,1918,,,,,,
0,Guiyang University,1978,,,,,,
0,Henan University of Engineering,1954,,,,,,
0,Shandong Management University,1938,,,,,,
0,Xinxiang University,2007,,,,,,
0,Beibu Gulf University,1973,,,,,,
